Scheme Name,URL,Benefits
"Tagore National Fellowship for Cultural Research","https://www.myscheme.gov.in/schemes/tnfcr","Benefits
Honorarium:
A Tagore National Fellow who is from a University, College, Research Institute, or Government setup in India would be entitled to the same pay, including grade pay, etc., which he/she would have drawn had he/she continued in his/her parent organization. Essential or mandatory contributions of the employer to Provident Fund etc. would be paid by the parent organizations as would have been paid by them had he/she continued in his/her parent organization.
A Fellow from abroad or from a set-up other than University, College, Research Institute or Government service, or who has retired from active service and/or is on pension, would be entitled to a fixed honorarium of ₹80,000/- per month.
No payment of honorarium would normally be made to a Fellow receiving full funding from other sources up to the level of the honorarium, but such Fellow will, however, receive a Contingency Grant, other allowances, and facilities, as decided by the NSC.  
Contingency Grant:
In case of foreign and Indian research fellows residing or serving abroad and having been selected as Tagore Fellows under Non-MoC institutions, to and fro economy class airfare from their country of residence will be provided/reimbursed by the Ministry once during the course of the Fellowship.
Similarly, all fellows under Non-MoC institutions who take up the Fellowship under the Scheme will be reimbursed, on an ‘actual’ basis, contingent expenses for making academic trips, engaging research assistants, etc. up to a maximum ceiling of ₹2.50 lakhs per annum, during the tenure of Fellowship subject to verification of requisite bills by the Nodal Institutions.
Note: For Fellows selected under MoC Institutions, the expenditure in this regard will be borne by the concerned MoC Institution from the grant-in-aid received by them from their administrative Division of the Ministry.
Accommodation:
A Fellow who is not a bona-fide resident of the place of the Participating Institution to which he has proposed to be affiliated and who intends to take up rented accommodation in the city of the desired Institution will be required to indicate this fact at the time of applying for Fellowship.
The selected Fellow will be entitled to receive a House Rent Allowance of up to 30% of the honorarium. However, with respect to Fellows from Universities, colleges, Research institutes, or Government setups HRA will be paid by the Parent Organization as per entitlement.
The MoC Institutions will bear the expenditure in this regard from the grant-in-aid received by them from their administrative Division of the Ministry.
In respect of Non-MoC Institutions, the Ministry of Culture will reimburse the House Rent Allowance directly to Fellows on submission of rent receipts (in original) to the Participating Institutions who will verify and forward the same to the Ministry for reimbursement.
Settling Allowance:
A Fellow from outstation will be given, if required, a lump sum grant of ₹1.00 lakh as settling allowance for packing/transportation, etc., of his personal belongings from the old station to the new station of his stay during the tenure of Fellowship, if he moves station or otherwise transports books and academic effects.
Allowance of an equal amount will also be given at the conclusion of the Fellowship for moving out of station. On a case-to-case basis, economy airfare from his/her place/country of residence will be provided/reimbursed upon joining and at the conclusion of the Fellowship. In this regard, Non-MoC Institutions will bear the expenditure and thereafter seek reimbursement from the Ministry after submission of certified copies of Bills along with justification.
Support to Fellows:
Infrastructural support will be provided by the Nodal Institution to the Fellows to enable them to conduct their research. This may include the provision of a computer with peripherals and connectivity, working space in the institution’s premises, providing a congenial atmosphere to carry out research, etc. Other facilities, like appropriate seating arrangements, library facilities, etc., will also be made available.
One important advantage of this scheme will be the access of the Fellows to national institutions for study and avail original and rare research material. In respect of foreign fellows engaged under this scheme, necessary political/security clearances from the concerned Ministries/Departments shall be obtained by the Ministry of Culture.
Encouragement and financial support may also be given to enable the Fellows to present papers at conferences hosted by the concerned institution or other related organizations and institutions, which will be met out/reimbursed, on an ‘actuals’ basis, with a ceiling of ₹1.00 lakh per annum, provided adequate academic interaction is arranged"
"Fellowship For Superannuated Faculty Members","https://www.myscheme.gov.in/schemes/ffsfm","Benefits
Tenure and Slots
Tenure: 3 years or upto 70 years whichever is earlier.
Slots: 100 per annum or as may be decided by the Commission

Financial Assistance
Fellowship: Rs. 50,000/- per month
Contingency: Rs.50,000/- per annum"
"Indo-French Visiting/Mobility Programme for Women in Science","https://www.myscheme.gov.in/schemes/prowis-ii","Benefits
Return airfare (economy class), accommodation & per diem allowances, local travel in India/France, airport transfer, insurance, and visa charges shall be given to the selected candidates."
"VAIshwik BHArtiya Vaigyanik (VAIBHAV) Fellowship","https://www.myscheme.gov.in/schemes/vaibhav","Benefits
Emoluments for the Fellowship:
Fellowship in ₹4,00,000/- roughly (equivalent to USD 5000 per month), for a minimum of 1 month and a maximum of up to 2 months per year for a period of a maximum of 3 years,
International Travel from place of work in parent institute to place of work in India in business class once a year,
Fully furnished Accommodation in the guest house or hotel up to ₹7500/- per day,
Contingency ₹1,00,000 per year for research expenditure in India
Domestic Travel (economy class) for academic purposes up to two Indian academic/scientific institutes in a year.
Note: It may be noted that the total eligible grant will be released to the Indian host Institute and these institutes will be providing a Fellowship amount to the VAIBHAV Fellow and extend other support.
Institutional Financial Support:
The financial support (up to ₹5 Lakhs per year for 3 years) will be given to the host institution to facilitate the VAIBHAV fellow for research work as per DST norms. This funding will cover the following expenses in connection with a project;
Consumables and Accessories,
Contingency
Institutional Overhead"
"Financial Assistance on Death/Disablement of Beneficiary (CBOCWWB)","https://www.myscheme.gov.in/schemes/faddbcbocwwb","Benefits

Sl. No. Grant Type Amount
1 Ex- gratia grant to widow dependent of employee (for any reason of death) ₹50,000/-
2 Grant to employee for full disability due to accident ₹25,000/-
3 Grant to employee for 50% disability due to accident ₹15,000/-"
"MMKY-Financial Assistance for New Boat, Engine, and Net","https://www.myscheme.gov.in/schemes/mmky-fanben","Benefits
Unit Cost and Subsidy Assistance:
Sl. No. Item Maximum Unit Cost (₹ in Lakh) Maximum Government Assistance (₹ in Lakh)/Beneficiary Maximum Government Assistance (₹ in Lakh)/Beneficiary



General (40%) Women/SC/ST/PWD/Transgender (60%)
1 Fishing Boat 7.50 3.00 4.50
2 Engine 1.40 0.56 0.84
3 Life Saving Equipment 0.10 0.04 0.06
4 Fishing Net 1.00 0.40 0.60

Total 10.00 4.00 6.00
*NB: Items at Sl. No. 1 & 3 are mandatory and others are optional as per the requirement of the fisherman.
Note 01: Financial Assistance shall be limited to 1(one) unit (boat with engine and net) per individual beneficiary.
Note 02: Procurement of Fishing Boats is mandatory under this scheme. However, the procurement of Engine and Fishing Net is optional, based on the requirement of the beneficiary.
Note 03: Back-ended subsidy will be limited to 60% for SC/ ST/ Women/ PWD/ Transgender and 40% for General category. Subsidy shall be released directly to the Aadhaar linked Bank Account of the beneficiary.
Note 04: For a differently-abled person, the certificate of disability issued by a certifying authority/ competent authority indicating 40% or more disability as per the Rights of Persons with Disabilities Act, 2016 will be accepted for the PWD category) /Transgender. (The certificate of identity as transgender person issued by the District Magistrate as per "the transgender person protection of Rights Act, 2019 will be accepted for the transgender category.
Note 05: In case, Government in the F & ARD Department enhances the percentage of subsidy that shall be applicable for those beneficiaries who have received go -ahead letter during the FY 2023-24."
"AICTE-Margdarshan scheme","https://www.myscheme.gov.in/schemes/ams","Benefits
For Margdarshan Institute or Mentor Institute(MI):
The Council has made provisions of a token grant in aid of ₹ 3,00,000/- per MBI. Hence a maximum  ₹ 30,00,000/- can be sanctioned to an MI for conducting activities under the Margdarshan Scheme for 10 MBIs altogether.
Suitable honorarium to staff (Chief Coordinator, supporting persons, etc.) engaged in running the scheme. Such expenditure should be booked under the Heads 'Honorarium for MI Staff'. The maximum honorarium shall, however, be limited to 4% of the overall grant as allotted.
Item For any Serving/Retired Academician as Internal Experts of MIs. Remarks
Travel Allowances (TA) (1)AC 2 tier accommodation / Chair Car when travelling by train                      (2) By own car / taxi limited to maximum of the prevailing rates of taxi notified by Central / State Government as applicable in the area from time to time. Payment of TA charges & honorarium will be done through respective MIs. Out of grant-inaid released by AICTE
Honorarium ₹ 3,000/- per day -
Local Support Local support includes utilities such as local lodging, boarding, secretarial support, working office, other utilities etc. shall be provide by the host MBI when such experts visit the institute. -

Note: It is clarified that overall expenditure shall not exceed the funds sanctioned/ allotted to the MI. No reimbursement shall be made for expenditure exceeding the given amount.
For Mentee Beneficiary Institute (MBI):
All activities should be mutually coordinated between the MIs and the associated MBIs to derive maximum benefi and for the betterment of the MBIs to a standard for seeking accreditation. A suggested list of activities is as follows:
General:
Workshop on Accreditation process, SWOT analysis for MBIs.
FDPs/ Workshop on generation & submission of infrastructure project through various state/ central schemes.
Workshop on Promoting Research, Consultancy, Industrial Projects etc.
Guest lectures on Faculty motivation
Institutional visit at MI or other Accredited institutes
Benchmarking exercise with discussion on programme/department wise target for achieving Accreditation.
Guest lectures on Innovation, start-up & entrepreneurship environment for faculty and students.
Workshops on modifications of curriculum, new teaching- learning process etc that aids in OBE.
Mapping of the activities with the Graduate Aptitudes must be clearly done.
Workshops on various initiatives of AICTE for spreading awareness for better development of institution, faculty and students.
FDPs/ Workshops on parameters of NIRF ranking.
Institutional Reforms:
Implementation of curricular reforms and development.
Improve student performance and evaluation.
Implement performance appraisal of faculty by students.
Facilitating Guest/Special lectures.
Assisting institute to organise faculty development programmes.
Research interaction and innovation with faculty & students.
Focus on Technical and life skill encouragement.
Assist faculty in enhancing Outcome based education.
Quality Improvement:
Improving student learning.
Improving student employability.
Increasing faculty productivity and motivation through professional development.
Increase in the average score of students participating in tests designed to measure technical and critical thinking skills.
Percentage of sanctioned faculty positions in participating institutions submitted by regular or contract faculty as per AICTE norms.
Increase in number of Faculty Trained in either their subject domain, pedagogy or management.
Participation of institutes in newly designed research-hub related activities.
Increase in average satisfaction level of the Student, Staff and Faculty."
"Mahila Samman Savings Certificate","https://www.myscheme.gov.in/schemes/mssc","Benefits
The scheme provides attractive and secure investment options to all girls and women.
The scheme offers an attractive and fixed interest of 7.5% interest compounded quarterly with flexible investment and partial withdrawal options with a maximum ceiling of ₹2,00,000/-.
The tenure of the scheme is two years.
Interest shall be compounded on a quarterly basis and credited to the account.
Note: The interest payable to the account holder in respect of any account opened or deposit made which is not in consonance with the provisions of this Scheme shall be payable at the rate applicable to the Post Office Savings Account."
"Death Benefit (A.B.O.C.W.W.B)","https://www.myscheme.gov.in/schemes/dbabocwwb","Benefits
The financial assistance of ₹50,000/- shall be given to the nominees/dependents of a registered construction worker in case of normal death during the course of employment.
The financial assistance of ₹3,00,000/- shall be given to the nominee/dependents of a registered construction worker, in case the death is due to an accident during the course of employment."
"Vegetable Development Scheme","https://www.myscheme.gov.in/schemes/vds","Benefits
Pattern of Assistance:
Supply of seeds/ seedlings and garden tools at 50% sales subsidy.
Demonstration on improved methods of vegetable cultivation at the rate 2,600 per farmer is provisioned.
Type of Assistance and Entitlement (If Any):
Sl. No. Entitlement Owantum of Assistance
1 To promote vegetable production by providing hybrid, HYV, and OP quality vegetable seed to farmers including horticultural tools and implements. 50% sale to the farmers.
2 To promote the production of off-season and high-value vegetables under protected cultivation by providing poly houses to farmers. 100% assistance for 100sqm per unit area.
3 To assist farmers in trellis making for squash and other creepers vegetables with locally available materials like bamboo wood etc. Assistance is limited to 200 sqm per beneficiary @ ₹10,000/unit."
"Cash Award (A.B.O.C.W.W.B)","https://www.myscheme.gov.in/schemes/caabocwwb","Benefits
The cash awards shall be given to the children of the beneficiaries who score 75% or above, 65% or less than 75%, and 55% or less than 65% mark @ ₹5,000/-, ₹4,000/- and ₹3,500/- respectively in HSLC, AHM, and H.S. examinations.
The Board offers cash awards to three male and three female children of the beneficiaries in each district."
"Swami Vivekananda Nishakta Swavlamban Protsahan Yojana","https://www.myscheme.gov.in/schemes/svnspy","Benefits
Amount: ₹ 1,000/- per month to the eligible beneficiary."
"Horticulture Mission for North Eastern Hill Scheme- Meghalaya","https://www.myscheme.gov.in/schemes/hmneh","Benefits
Pattern of Assistance:
Training, Awareness program, extension, Technology support, Subsidy on inputs, Improving marketability and marketing support."
"Post Harvest Marketing Scheme","https://www.myscheme.gov.in/schemes/phms","Benefits
Pattern of Assistance:
Creation of infrastructural facilities for post harvest marketing, Grading Units etc.
Type of Assistance and Entitlement (If Any):
Sl. No. Entitlement Owantum of Assistance
1 Evacuation facilities like pick-up trucks/ mini trucks/ Tata mobile to the Farmers Groups/ Farmers Clubs/ SHG farmers Co-Operative Societies/ FIG/ FPOs etc. for transportation of farm produce to the market. ₹2,000,00/- per Group or SHG. (50% Subsidy)
2 Village level Farmers training on Post Harvest Management. ₹189/ day/farmer. (Daily allowance)"
"Regional Centre for Training and Production of Mushroom","https://www.myscheme.gov.in/schemes/rctpm","Benefits
Pattern of Assistance:
Supply of spawns at 50% subsidy and compost at 50% subsidy.
Type of Assistance and Entitlement (If any):
Sl. No. Entitlement Owantum of Assistance
1 Sale of Button, Oyster spawns, and compost to Mushroom growers at Mushroom Development Centre. 50% subsidy sale to the growers.
2 Construction of compost shed under Assistant Director of Horticulture, Mushroom Development Centre, Upper Shillong. 50% assistance
3 Financial assistance to Mushroom growers @ ₹22,000/- per unit under District Horticulture Officer, West Garo Hills. 50% assistance"
"Agriculture Research Stations and Laboratories Scheme","https://www.myscheme.gov.in/schemes/arsls","Benefits
Pattern of Assistance:
Adaptive research at farmers' field.
Type of Assistance And Entitlement (If Any):
Training on Soil management, Providing Soil Health Cards, Conducting soil surveys, etc."
"Bhausaheb Fundkar Falbag Lagvad Scheme","https://www.myscheme.gov.in/schemes/bhausaheb-fundkar-horticulture-plantataion-scheme","Benefits
Subsidy through DBT is given to farmer for plantation of 16 perennial fruit crops like Mango, Cashew, Guava, Sapota, Custered Apple, Pomegranate, Paper Lemon, Coconut, Tamarind, Fig, Amla, Kokum, Jackfruit, Jamun, Orange, Mosambi, for below mentioned activities :

1.  Pit Diggsing
2.  Planting grafts/seedling
3.  Application of chemical and organic fertilizers.
4.  Crop Protection
5.  Gap filling"
"Organic Manure Scheme","https://www.myscheme.gov.in/schemes/oms","Benefits
Type of assistance:
Training and awareness campaign in the production of organic composts."
"Agriculture Information Unit Scheme","https://www.myscheme.gov.in/schemes/aius","Benefits
Pattern of Assistance:
Free distribution of information leaflets, package of practices, booklets etc., including sponsoring Farmers Group, SHG to exposure programmes like trade fairs, expos, exhibitions in and outside the State.
Type of Assistance and Entitlement (If any):
Farmers Exposure Trip, Holding Crop Competition, Printing of booklets, leaflets, farmer calendar, publications, observation of World Food Day, Sponsoring farmers to participate in Trade Fair, Exhibition, Kisan Mela."
"National Award For Senior Citizens (Vayoshreshtha Samman): Best District Panchayat In Providing Services And Facilities To Senior Citizens","https://www.myscheme.gov.in/schemes/nassvsbdppsfsc","Benefits
Decoration
The Awardee is given a Citation, Memento, and a Cash award of ₹ 10,00,000.

Presentation of Award (Ceremony Details)
The Award shall be presented in New Delhi at a special ceremony/function to be held on the occasion of the International Day of Older Persons on the 1st of October every year.
The Awards shall be presented by the President of India or the Prime Minister of India.
The boarding and lodging expenses of the awardees including one companion for each awardee shall be borne by the Central Government.
The to-and-fro travelling expenses and accommodation for up to one day prior to and after the date of the Samman ceremony (depending upon the actual arrival and departure dates) shall be arranged and the expenditure shall be reimbursed by the Central Government.
The TA/ DA admissibility of the awardees and one companion shall be equivalent to that of the Joint Secretary to the Government of India."
"National Award For Senior Citizens (vayoshreshtha Samman): Iconic Mother","https://www.myscheme.gov.in/schemes/nassvsim","Benefits
Decoration
The Awardee is given a Citation, Memento, and a Cash award of ₹ 2,50,000/-.

No. of Awardees
The total number of Awardees is 15 (Fifteen).

Presentation of Award (Ceremony Details)
The Award shall be presented in New Delhi at a special ceremony/function to be held on the occasion of the International Day of Older Persons on the 1st of October every year.
The Awards shall be presented by the President of India or the Prime Minister of India.
The boarding and lodging expenses of the awardees including one companion for each awardee shall be borne by the Central Government.
The to-and-fro travelling expenses and accommodation for up to one day prior to and after the date of the Samman ceremony (depending upon the actual arrival and departure dates) shall be arranged and the expenditure shall be reimbursed by the Central Government.
The TA/ DA admissibility of the awardees and one companion shall be equivalent to that of the Joint Secretary to the Government of India."
"'Organizing/ Participation in Exhibitions /Trade Fairs /Expo /Seminars /Investors Meets, etc' under 'Marketing And Publicity'","https://www.myscheme.gov.in/schemes/opetfesime-mp","Benefits
Promotion Campaigns, Exhibitions, Trade Fairs, Investors Meets, Seminars etc., are arranged in important towns/cities of India and abroad, for the market promotion (display cum sale) for (MSME) products (industrial products, handicraft products, cottage industries products, etc).
The participating artisans/unit industrialists are paid traveling expenses restricted to second-class railway fare and Daily Allowance (DA) at the rate of ₹400/- per day per person.
Payment of honorarium and winter clothing for the officials of this department on duty in India International Trade Fair, New Delhi and other Fair/ Exhibitions held in other major cities.
(a) Honorarium at the rate of ₹400/- per day in addition to the normal DA.
(b) Winter clothing allowance not exceeding ₹3,500/- during such trade fair."
""Grant of Margin Money for Availing Capital Loan" Component of the "Development of Coir" Scheme","https://www.myscheme.gov.in/schemes/gmmacl-dc","Benefits
25% margin money, capped at ₹25,00,000, upon receipt of a financial institution's sanction order for a project worth ₹1,00,00,000.
The loan amount will be released to the bank on behalf of the entrepreneurs.
The commercial production should commence within six months of the Margin Money Grant release."
"The Andaman & Nicobar Islands Allowance to Destitute Women Scheme","https://www.myscheme.gov.in/schemes/aniadws","Benefits
The quantum of Allowance to Destitute Women shall be ₹2500/- per month subject to eligibility.
Payment of allowance shall be made through Bank Account on a monthly basis."
"The Andaman & Nicobar Islands Old Age Assistance Scheme","https://www.myscheme.gov.in/schemes/anioaas","Benefits
The amount of assistance for persons in the age group 60-79 years shall be ₹2,500/- per month.
The amount of assistance for persons aged 80 years & above shall be ₹3,000/-.
Note 01: The scheme also included the beneficiaries of the Indira Gandhi National Old Age Pension Scheme (IGNOAPS).
Note 02: Payment of allowance shall be made through Bank Account on a monthly basis."
"Educational Assistance (Scheme for the Pre-Matric and Post-Matric Scholarship to Children of Construction Workers Registered with the MBOCWWB)","https://www.myscheme.gov.in/schemes/easppsccwrmbocwwb","Benefits
Value of the Scholarship:
1. The rate of the scholarship for different courses/subjects is as follows:
Sl. No. Level of Study Stipend (Per Month)
1 Degree ₹800/-
2 Diploma ₹600/-
3 Certificate course ₹600/-
4 Class XI & XII ₹600/-
5 Class VIII to X ₹500/-
6 Class V to VII ₹400/-
2. Reader’s charges for Blind students (Blind Scholars): Blind Students/Scholars will be given an additional amount of ₹200/- per month as "Readers charges subject to production of disability certificate issued by the competent authority".
3. A One Time Book and Uniform Grant to students at 2 months stipend will be granted for the students of the following group of classes:
Sl. No. Class/Course Grant Amount (One time Grant)
1 Class I- Class II ₹400/-
2 Class III- Class IV ₹600/-
3 Class 5 - Class 7 ₹800/-
4 Class 8 - Class 10  ₹1,000/-
5 Class 11 - Class 12 ₹1,200/-
6 Certificate course ₹1,200/-
7 Diploma course  ₹1,200/-
8 Degree course  ₹1,600/-
Note: The rates and the type of courses for which the scholarship will be granted are subject to revision from time to time.
Duration of Awards:
The award once made will be tenable from the stage at which it is given to the completion of the course, subject to good conduct and regular attendance. Noncompliance with any of the eligibility conditions and rules may cause the discontinuity of the scholarship at any time.
Payment:
The stipend will be paid to the selected students by the Building & Other Construction Workers Welfare Board in accordance with the procedure laid down by the Building & Other Construction Workers Welfare Board."
"Dr. Dharmambal Ammaiyar Ninaivu  Widow Remarriage Assistance Scheme-I","https://www.myscheme.gov.in/schemes/ddanwrasi","Benefits
Financial Assistance of ₹ 25,000/-.
One sovereign (8gm) 22-carat gold coin for making Thirumangalyam.

Mode of Disbursal:
₹15,000/- through Electronic Clearing Service and ₹10,000/- as a National Savings Certificate."
"Nirman Shramikon ke Liye Vyavsayik Rin Par Byaj ki Punarbharan Yojana","https://www.myscheme.gov.in/schemes/nsklvrpbkpy","Benefits
The board will reimburse the interest payable on business loans up to ₹5,00,000/-"
"Annai Teresa Ninaivu Marriage Assistance Scheme for Orphan Girls-I","https://www.myscheme.gov.in/schemes/atnmasfogi","Benefits
Financial assistance of ₹25,000/-.
One sovereign (8gm) 22-carat gold coin for making Thirumangalyam. 
Mode of Disbursal: Through Electronic Clearing Service."
"Annai Teresa Ninaivu Marriage Assistance Scheme for Orphan Girls-II","https://www.myscheme.gov.in/schemes/atnmasfogii","Benefits
Financial assistance of ₹25,000/-.
One sovereign (8gm) 22-carat gold coin for making Thirumangalyam. 
Mode of Disbursal: Through Electronic Clearing Service."
"Free Motorized Tricycle Scheme for Persons with Disabilities","https://www.myscheme.gov.in/schemes/fmtsfpwd","Benefits
The maximum grant amount under this scheme is the motorized actual price of tricycles or ₹25,000/- whichever minimum per person with disabilities will be permissible.
Note: If the cost of a motorized bicycle exceeds ₹25,000/-, the expenditure incurred in addition to the maximum grant amount of ₹25,000/- will be borne by the beneficiary himself."
"Shramik Parivahan Yojana (GBOCWWB)","https://www.myscheme.gov.in/schemes/spy-gbocwwb","Benefits
Under the scheme, registered construction workers will receive a bus pass at a concessional rate for commuting from Kadianaka to the workplace.
Under the scheme, the beneficiary is required to contribute 20% of the pass amount, while the board covers the remaining 80%. 
Note: The pass shall be issued at a concessional rate monthly or quarterly or six-monthly or annually as per the demand of the registered construction worker."
"Mukhyamantri Sports Development Scheme - Unemployed Young Professional Sportsperson","https://www.myscheme.gov.in/schemes/msdsuyps","Benefits
Fixed Remuneration of ₹20,000/- per month."
"Shree Nanaji Deshmukh Awas Yojana (GBOCWWB)","https://www.myscheme.gov.in/schemes/sndaygbocwwb","Benefits
Under the scheme, financial assistance of ₹1,60,000/- is provided to registered construction workers."
"Dr. Muthulakshmi Reddy Ninaivu Inter-caste Marriage Assistance Scheme-II","https://www.myscheme.gov.in/schemes/dmrnicmasii","Benefits
Financial assistance of ₹50,000 given to the newly married couple. 
1 Sovereign (8 gm) 22-carat gold coin for making Thirumangalyam. 

Mode of Disbursal:
₹30,000 through Electronic Clearing Service and ₹20,000 in the form of National Savings Certificate."
"Mukhyamantri Vishesh Yogyajan Sammaan Pension Yojana","https://www.myscheme.gov.in/schemes/mvyspy","Benefits
The following monthly pension will be provided:
Age Criteria Amount
75 Years or Less ₹1,000/- per Month.
75 Years or More ₹1,250/- per Month.
Leprosy Free Patient ₹2,500/- per Month.
Silicosis Disease Patient ₹1,500/- per Month."
"Mukhyamantri Bhagyalaxmi Bond Scheme (GBOCWWB)","https://www.myscheme.gov.in/schemes/mbbsgbocwwb","Benefits
Under the scheme, a bond of ₹25,000/- or of the amount as resolved from time to time, with maturity at 18 year of the age of the girl child, upto one girl is given to the registered Building and other Construction workers.
The amount can be withdrawn by the daughter after completing 18 years of age."
"Vishist Coaching Scheme (GBOCWWB)","https://www.myscheme.gov.in/schemes/vcsgbocwwb","Benefits
Under the scheme, the registration fee and coaching/tuition fees for the children of registered construction workers will be reimbursed/paid."
"Mukhyamantri Vriddhjan Samman Pension Yojana","https://www.myscheme.gov.in/schemes/mvspy","Benefits
Pension amount : ₹1,000/- per month"
"Housing Subsidy Scheme (GBOCWWB)","https://www.myscheme.gov.in/schemes/hssgbocwwb","Benefits
Under the scheme, the assistance of ₹1,50,000/- will be provided to registered construction workers for a duration of 5 years, with ₹30,000/- disbursed annually subject to the terms of assistance.
The construction workers who have taken a loan up to a maximum of ₹15 lakhs to buy their house will be provided ₹30,000/- per year for the five years as per plan."
"Maternity Assistance Scheme- Gujarat Labour Welfare Board","https://www.myscheme.gov.in/schemes/masglwb","Benefits
Under this scheme, financial assistance of ₹10,000/- is provided to female workers and the wives of workers to cover expenses incurred during the maternity period."
"Scheme of Extending Family Maintenance Grant to the Families of the Deceased Famous Artists","https://www.myscheme.gov.in/schemes/soefmgttfotdfa","Benefits
Financial Assistance of ₹25,000/-."
"Shramyogi Home Town Scheme- Gujarat Labour Welfare Board","https://www.myscheme.gov.in/schemes/smts-glwb","Benefits
Under the scheme, migrant laborers employed in the organized sector can avail of payment for railway fare to travel to or from their home country, to the nearest railway station.
Note: The assistance amount will be credited to the beneficiary's bank account through DBT."
"Laptop Purchase Assistance Scheme- Gujarat Labour Welfare Board","https://www.myscheme.gov.in/schemes/lpas-glwb","Benefits
Under the scheme, 50% of the amount or ₹25,000/- whichever is less will be given to the student admitted in a professional or designing course, with consideration to the laptop price limit of ₹50,000/-."
"Scheme for Pension Benefits to the Journalists/Photojournalists","https://www.myscheme.gov.in/schemes/sfpbttjp","Benefits
Pension of ₹10,000/- per month."
"Full Medical Checkup Assistance Scheme- Gujarat Labour Welfare Board","https://www.myscheme.gov.in/schemes/sfmcas-glwb","Benefits
The scheme provides health check-ups for male Shramyogi above 45 years of age and female Shramyogi above 35 years of age working in the organized sector in the state of Gujarat.
Note: A fixed amount of ₹1950/- per worker for complete medical check-ups and 25% of this amount is ₹487.50 to be paid by the organization/company."
"Motivation of Entrepreneurs and Financial Assistance for Rehabilitation of Sick Industries","https://www.myscheme.gov.in/schemes/mefarsi","Benefits
Subsidy @ 50% on the cost of diagnostic study by technical institutions initiated through Financial Institutions/Banks/Government with a maximum of ₹50,000/-.
50% of fees (maximum ₹50,000/- per unit) will be reimbursed on implementing suggestions given by the experts in the field of technology, marketing and finance engaged to advise sick units.
Interest subsidy @ 5% per annum limited to ₹3,00,000/- per year for 3 years on additional finance disbursed by Banks/Financial Institutions for Rehabilitation.
*The interest subsidy will be paid through the financial institution.
*The financial institution shall mean and include PIPDIC or any other Government Corporation, Scheduled Banks including Co-operative Banks."
"Scheme of Encouragement to Young Artists","https://www.myscheme.gov.in/schemes/soetya","Benefits
Remuneration in the range of ₹5,000/- to ₹10,000/-."
"Mumkin - Livelihood Generation Scheme","https://www.myscheme.gov.in/schemes/mlgs","Benefits
Up to ₹80,000 subsidy (or 10% of on-road price, whichever is lower) per beneficiary from Mission Youth.
Matching subsidy from the vehicle manufacturer (equal to Mission Youth's contribution)."
"Diggy","https://www.myscheme.gov.in/schemes/dr","Benefits
The farmer must purchase a permanent container with a minimum filling capacity of 4 lakh liters and above.
The state government will provide a 75% to 85% subsidy.
Farmer will be provided a grant amount of up to ₹ 3,00,000/- to ₹ 3,40,000/- by the government for making a dig in fields."
"Khet Talai","https://www.myscheme.gov.in/schemes/kt","Benefits
Scheduled Caste (SC) and Scheduled Tribes (ST), small, and marginal farmers will get 70 percent of the unit cost or a maximum of ₹73,500/- on raw form pounds and 90 percent or ₹1,35,000/- on plastic lining form pounds and other category farmers. 
The subsidy is available on 60 percent of the cost or a maximum of ₹63,000/- on raw form pounds and 80 percent or ₹1,20,000/- on plastic lining form pounds, whichever is less.

The subsidy is payable only on farm ponds of a minimum 400 cubic meter capacity."
"Dr. P. G. Solanki Scheme for Loan/Assistance to Medical Post Graduate Doctors of Scheduled Caste","https://www.myscheme.gov.in/schemes/dpgsslampgdsc","Benefits
Loan/Assistance details under the scheme:
Subsidy/assistance of ₹50,000/-.
Loan up to ₹3,00,000/- at an interest rate of 4%."
"Old Age Pension - Chandigarh","https://www.myscheme.gov.in/schemes/oapc","Benefits
Pension Amount-  ₹1000/- per month."
"Anti Bird Net","https://www.myscheme.gov.in/schemes/abn","Benefits
50 percent subsidy is payable for a maximum area of 5000 square meters."
"Financial Assistance Scheme for Purchase of Agricultural Land to Scheduled Caste Farmers","https://www.myscheme.gov.in/schemes/faspalscf","Benefits
Under the scheme, Scheduled caste farmers are provided with financial assistance of ₹1,00,000/- per acre to purchase agricultural land.
Assistance is provided up to ₹2,00,000/- for a maximum of 2 acres to enable the purchase of agricultural land."
"Fodder Minikits under Tribal Area Sub Plan (TASP) Scheme (ST Category)","https://www.myscheme.gov.in/schemes/fmtaspsstc","Benefits
Under this scheme, the fodder seed minikit of 3 Kg, 7 Kg or 10 Kg is given to the eligible beneficiary."
"Raja Harishachandra Shramik Mratak Antyeshti Sahayata Yojana","https://www.myscheme.gov.in/schemes/rhsmas","Benefits
Financial Assistance : ₹10,000/-"
"Mahadevi Verma Shramik Pustak Kraya Dhan Yojana","https://www.myscheme.gov.in/schemes/mvspkdpy","Benefits
Financial Assistance : ₹7,500/- lump sum per candidate for postgraduate candidates."
