Scheme Name,Eligibility,URL,Region,Tags
Mukhyamantri Jankalyan (Shiksha Protsahan Yojna),"['The applicant must be a permanent resident of Madhya Pradesh.', ""The applicant's mother/father should be registered as an unorganized worker in the Labor Department of the Madhya Pradesh Government."", 'The student will be given the benefit of this scheme on admission to the Diploma/Degree and Certificate courses in Government Medical College and Paramedical Science conducted under it.', 'All the government and grant-aided colleges and universities of the state government, in which all graduates and postgraduate courses under the State Higher Education Department, all diploma courses and ITIs conducted in polytechnic colleges, will be given the benefit of this scheme to the students.', 'The benefit of this scheme will be given even after getting admission in the graduation program and integrated post-graduation program conducted in all university institutions of the state government or government of India.', 'For engineering, in the case of fees coming under 1.5 lakh in JEE Mains, full fees will be given upon taking admission in government engineering college and 1.5 lakh rupees and actual tuition fee, whichever is less, will be provided upon admission in aided college.', 'If students have taken admission through the NEET entrance exam for medical studies in MBBS/VIDEO medical and dental college of Central or State Government or MBBS course of private medical located in the college, then the students are eligible to get the benefit of this scheme. are eligible.', 'The benefit of this scheme will also be given on getting admission to National Law University or Delhi University through the Common Law Admission Test for the study of law and the examination conducted by itself.', ""The applicant must be a permanent resident of Madhya Pradesh.The applicant's mother/father should be registered as an unorganized worker in the Labor Department of the Madhya Pradesh Government.The student will be given the benefit of this scheme on admission to the Diploma/Degree and Certificate courses in Government Medical College and Paramedical Science conducted under it.All the government and grant-aided colleges and universities of the state government, in which all graduates and postgraduate courses under the State Higher Education Department, all diploma courses and ITIs conducted in polytechnic colleges, will be given the benefit of this scheme to the students.The benefit of this scheme will be given even after getting admission in the graduation program and integrated post-graduation program conducted in all university institutions of the state government or government of India.For engineering, in the case of fees coming under 1.5 lakh in JEE Mains, full fees will be given upon taking admission in government engineering college and 1.5 lakh rupees and actual tuition fee, whichever is less, will be provided upon admission in aided college.If students have taken admission through the NEET entrance exam for medical studies in MBBS/VIDEO medical and dental college of Central or State Government or MBBS course of private medical located in the college, then the students are eligible to get the benefit of this scheme. are eligible.The benefit of this scheme will also be given on getting admission to National Law University or Delhi University through the Common Law Admission Test for the study of law and the examination conducted by itself.""]",https://www.myscheme.gov.in/schemes/mjspy,Madhya Pradesh,"Financial Assistance, Higher Education, Students"
Divyang Pension Yojana,"['The age of the applicant should be 18 years or more.', 'Applicant must be a permanent resident of Uttar Pradesh.', 'Should have a minimum of 40 percent disability.', ""The person getting pension/grant/assistance under the applicant's old age pension, widow pension, socialist pension or any other similar scheme and the person receiving free maintenance in government institutions/homes should not be eligible."", 'The annual income of the applicant or his family is within the definition of the poverty line (currently fixed at Rs. 46,080/- in rural areas and Rs. 56,460/- per family per year in urban areas) will be eligible for the grant.', ""The age of the applicant should be 18 years or more.Applicant must be a permanent resident of Uttar Pradesh.Should have a minimum of 40 percent disability.The person getting pension/grant/assistance under the applicant's old age pension, widow pension, socialist pension or any other similar scheme and the person receiving free maintenance in government institutions/homes should not be eligible.The annual income of the applicant or his family is within the definition of the poverty line (currently fixed at Rs. 46,080/- in rural areas and Rs. 56,460/- per family per year in urban areas) will be eligible for the grant.""]",https://www.myscheme.gov.in/schemes/dpyup,Uttar Pradesh,"Disability, Empowerment, Financial Assitance, Social Welfare"
Silpi Pension Scheme - Assam,"['The applicant must be a permanent resident of the State of Assam.', 'An artist, who has made outstanding contributions in the field of Music, Dance, Fine Arts, Puppetry, Musk making, and also covering artists and technicians associated with Mobile Theatre and Amateur Theatre and Films, is eligible under this scheme.', 'Indigent families of artists who have made outstanding contributions in the field of Music, Dance, Fine Arts, Puppetry, Musk making, etc. are eligible under this scheme.', 'The applicant must have a recognition proof certificate.', 'The applicant must be a permanent resident of the State of Assam.An artist, who has made outstanding contributions in the field of Music, Dance, Fine Arts, Puppetry, Musk making, and also covering artists and technicians associated with Mobile Theatre and Amateur Theatre and Films, is eligible under this scheme.Indigent families of artists who have made outstanding contributions in the field of Music, Dance, Fine Arts, Puppetry, Musk making, etc. are eligible under this scheme.The applicant must have a recognition proof certificate.']",https://www.myscheme.gov.in/schemes/sps-assam,Assam,"Art And Culture, Artist, Divyang, Financial Assistance, Pension"
Unemployed Youth Employment Generation Programme,"[""1.\tThe applicant should be a permanent resident of Tamil Nadu.2.\tThe applicant should be a minimum of 18 years of age; and(a)for the General category:maximum of 35 years of age.(b)for Special category (SC/ ST/MBC/ BC/ Minorities/ Ex-Servicemen/ Differently abled/ Transgender):maximum of 45 years of age.3.\tThe applicant should have passed the 8th standard.4.\tThe family income of the applicant should not exceed ₹5 lakhs per annum.5.\tThe applicant's contribution should be 10% of the project cost for the General category; or 5% for the Special category.6.\tEntrepreneurship Development Programme (EDP) training is mandatory.7.\tProject cost should not be more than ₹15 lakhs for manufacturing, and ₹5 lakhs for Trading / Service projects."", '1.\tThe applicant should be a permanent resident of Tamil Nadu.', '2.\tThe applicant should be a minimum of 18 years of age; and', '(a)for the General category:maximum of 35 years of age.', '(b)for Special category (SC/ ST/MBC/ BC/ Minorities/ Ex-Servicemen/ Differently abled/ Transgender):maximum of 45 years of age.', '3.\tThe applicant should have passed the 8th standard.', '4.\tThe family income of the applicant should not exceed ₹5 lakhs per annum.', ""5.\tThe applicant's contribution should be 10% of the project cost for the General category; or 5% for the Special category."", '6.\tEntrepreneurship Development Programme (EDP) training is mandatory.', '7.\tProject cost should not be more than ₹15 lakhs for manufacturing, and ₹5 lakhs for Trading / Service projects.']",https://www.myscheme.gov.in/schemes/uyegp,Tamil Nadu,"Business, Loan, MSME, Subsidy, Unemployment, Youth"
Jai Bhim Mukhyamantri Pratibha Vikas Yojana,"['Only students belonging to the Scheduled Caste category residing in Delhi & who have passed 10th and 12th class (or studying in class XII) from the schools in Delhi, having a total family income of not more than ₹6.00 lakh per annum will be eligible under the scheme.', 'The students must have secured a prescribed percentage of marks in the qualifying examinations for which free coaching is proposed to be imparted under the scheme.', 'The institute should be a registered body or run by any organization registered under the Societies Registration Act, 1860/ Companies Act, 2013, or any other relevant Act of the State/Union Territory.', 'The institute should have experience of at least 3 years as of the date of notification inviting applications from institutions for empanelment by the Department.', 'The institute should have been fully functional for a minimum period of 3 years at the time of applying under this scheme and having a minimum enrolment of 100 students in the courses each year for at least two years, immediately prior to the year in which selected for empanelment.', 'The institute must have the proper infrastructure to meet the entire requirement for providing quality coaching in the courses applied.', 'Eligibility criteria for students:', 'Only students belonging to the Scheduled Caste category residing in Delhi & who have passed 10th and 12th class (or studying in class XII) from the schools in Delhi, having a total family income of not more than ₹6.00 lakh per annum will be eligible under the scheme.The students must have secured a prescribed percentage of marks in the qualifying examinations for which free coaching is proposed to be imparted under the scheme.Note 01:Sponsoring Department may also nominate some needy students for coaching under the selected institutions.Note 02:Income and Caste Certificates issued by the office of the concerned District Magistrate should be obtained from the Students by the selected institutes.Note 03:Where examination is conducted in two stages viz. Preliminary and Main, the candidates will be entitled to free coaching for both examinations. They will be entitled to free coaching for both Preliminary and Main examinations at their convenience. However, there will be no restriction on the number of chances for coaching for interview, if the candidate is selected for interview.Note 04:The selected students shall have to attend all classes. In the event of any student remaining absent for more than 15 days, without any valid reason, the benefits of free coaching to him/her shall be discontinued and another student shall be taken in his/her place.', 'Note 01:Sponsoring Department may also nominate some needy students for coaching under the selected institutions.', 'Note 02:Income and Caste Certificates issued by the office of the concerned District Magistrate should be obtained from the Students by the selected institutes.', 'Note 03:Where examination is conducted in two stages viz. Preliminary and Main, the candidates will be entitled to free coaching for both examinations. They will be entitled to free coaching for both Preliminary and Main examinations at their convenience. However, there will be no restriction on the number of chances for coaching for interview, if the candidate is selected for interview.', 'Note 04:The selected students shall have to attend all classes. In the event of any student remaining absent for more than 15 days, without any valid reason, the benefits of free coaching to him/her shall be discontinued and another student shall be taken in his/her place.', 'Eligibility criteria for applying for Empanelment of Coaching Institutions:', 'The institute should be a registered body or run by any organization registered under the Societies Registration Act, 1860/ Companies Act, 2013, or any other relevant Act of the State/Union Territory.The institute should have experience of at least 3 years as of the date of notification inviting applications from institutions for empanelment by the Department.The institute should have been fully functional for a minimum period of 3 years at the time of applying under this scheme and having a minimum enrolment of 100 students in the courses each year for at least two years, immediately prior to the year in which selected for empanelment.The institute must have the proper infrastructure to meet the entire requirement for providing quality coaching in the courses applied.']",https://www.myscheme.gov.in/schemes/jbmpvy,Delhi,"Coaching, Competitive Examination, Scheduled Castes, Stipend, Students"
AGR 4 (Farm Mechanization) Scheme For SC Farmers,"['The beneficiary should be a permanent resident of Gujarat State.', 'Any farmer of the state belonging to the Scheduled Caste category (in 208 talukas where the SMAM scheme is not implemented) is eligible under this scheme.', 'The beneficiary farmer has to purchase from the authorized dealer of the manufacturer included in the panel prepared for the purpose of price discovery announced by the account from time to time.', 'The beneficiary should be a permanent resident of Gujarat State.Any farmer of the state belonging to the Scheduled Caste category (in 208 talukas where the SMAM scheme is not implemented) is eligible under this scheme.The beneficiary farmer has to purchase from the authorized dealer of the manufacturer included in the panel prepared for the purpose of price discovery announced by the account from time to time.']",https://www.myscheme.gov.in/schemes/agr4fmsscf,Gujarat,"Agriculture, Equipment, Farmer, Financial Assistance, Mechanization, Scheduled Caste"
Subsidy Scheme For Establishment Of Goat Unit (10+1) For Scheduled Tribe Women,"['1.\tThis scheme can be applicable only to the beneficiaries of the Scheduled Tribe women of Gujarat State.2.\tThe priority should be given to widow/divorcee women.3.\tThe benefit has provided to only one person per family.4.\tThe Beneficiary has to give her a photograph with goats unit.5.\tIn general circumstances, the unit should be run for 3 years.Note 01:The beneficiary has to purchase goats unit within 90 days of pre-approval of the online application. If the beneficiary fails to establish the goat unit within the time limit or proves disabled then the approval order given to the beneficiary will be cancelled and the approval order will be given to the beneficiary who is next in the waiting list.Note 02:The beneficiary has to note the record of milk production and has to give the register and information during the visit of the department technical officer.', '1.\tThis scheme can be applicable only to the beneficiaries of the Scheduled Tribe women of Gujarat State.', '2.\tThe priority should be given to widow/divorcee women.', '3.\tThe benefit has provided to only one person per family.', '4.\tThe Beneficiary has to give her a photograph with goats unit.', '5.\tIn general circumstances, the unit should be run for 3 years.', 'Note 01:The beneficiary has to purchase goats unit within 90 days of pre-approval of the online application. If the beneficiary fails to establish the goat unit within the time limit or proves disabled then the approval order given to the beneficiary will be cancelled and the approval order will be given to the beneficiary who is next in the waiting list.', 'Note 02:The beneficiary has to note the record of milk production and has to give the register and information during the visit of the department technical officer.']",https://www.myscheme.gov.in/schemes/ssegu10stw,Gujarat,"Goat, Milk Production, Scheduled Tribe, Subsidy, Woman"
Bhagyalaxmi Scheme,"['A girl’s birth must be registered within a year after her birth date.', 'Girls shouldn’t engage in child labour.', 'Benefits from the Bhagyalakshmi scheme are available to BPL families with up to 2 female children.', 'Girls should have been immunized correctly in the health department’s program.', 'Girl children must be born after 31 March 2006 in a BPL family.', 'A girl must have completed the eighth grade to be eligible for the maturity amount', 'She cannot have been married off before turning 18 years old.', 'Eligibility']",https://www.myscheme.gov.in/schemes/bys,Karnataka,"Below Poverty Line, Bhagyalaxmi Yojana, Female Children, Financial Aid"
Dr. YSR Aarogyasri Health Insurance Scheme,"['Less than 12.00 Acres of wet land', 'Less than 35.00 Acres of dry land', 'Total less than 35.00 Acres (Wet & Dry)', 'All households whose annual income is less than or upto Rs.5.00 Lakhs (Salary certificate evidence)', 'Income Tax Payers: Families who are filing Income Tax Returns for annual income up to Rs.5.00 Lakhs are eligible (Income Tax Return evidence).', '1.   All Rice Card Holders are eligible.', '2.   Families which are eligible for YSR Pension Kanuka Card and Jagananna Vidya and Vasathi Deevena Card are also eligible.', '\ufeff', 'For other families, the following criteria are applicable.', '\ufeff', 'Landowners holding:', '\ufeff', 'Annual income of the Households:', '\ufeff', 'Employees:', 'Any employee, other than permanent Government employee/ pensioner, whose annual income is less than or upto Rs.5.00 Lakhs is eligible. It includes outsourcing, Contract, Part time employees, Sanitary workers, Honorarium based employees working in Government sector and employees of Private sector.', '\ufeff', 'Municipal Property Tax Payers:', 'All households paying Municipal Property Tax for the area less than 3000 SFT (334 Sq. Yds)', '\ufeff', 'Personal Vehicle:', 'Families/Households not having more than one personal car.', '\ufeff', 'Source:https://www.ysraarogyasri.ap.gov.in/web/guest/am-i-eligible']",https://www.myscheme.gov.in/schemes/dysrhis,Andhra Pradesh,"Health, Insurance"
Old Age Pension Scheme - Punjab,"['Beneficiary should be a Permanent Resident of Punjab.', 'The Annual Income of Beneficiary should not be more than Rs. 60,000/- per year.', 'The Age of Beneficiary should be :-', 'Men: 65 Years or Above.', 'Women :58 Years or Above.', 'Beneficiary should own any of the below mentioned amount of land :-', 'Maximum 2.5 Acre Nehri or Chahi Land, OR', 'Maximum 5 Acre Barani Land, OR', 'Waterlogged 5 Acre Land.', 'Men: 65 Years or Above.', 'Women :58 Years or Above.', 'Maximum 2.5 Acre Nehri or Chahi Land, OR', 'Maximum 5 Acre Barani Land, OR', 'Waterlogged 5 Acre Land.']",https://www.myscheme.gov.in/schemes/oapsp,Punjab,"Financial Assistance, Pension, Welfare"
Intellectual Property Rights (IPR) Reimbursement Scheme,"['All the Start-ups certified by the Start-up Promotion Cell (SPC) having a valid start-up certificate number are eligible.', 'IP created for a technology-based service or product or uses technology for enhancing functionality or reach of an existing product or service is eligible.', 'The applicant should have already filed or been granted an IP with the concerned authority.', 'The applicant should have paid the mandatory government fees and attorney fees in this regard.', 'Only expenditures incurred after notification of Goa Start-up Policy 2017 within the validity of this policy and paid for digitally would be considered.', 'NOTE:If the applicant has applied for the reimbursement benefits/ grant for the same IP in any other scheme of the Centre or other State Government, then the application will be rejected.']",https://www.myscheme.gov.in/schemes/iprrs,Goa,"Business, Entrepreneur, IPR, Reimbursement, Startup"
Swami Vivekananda Utkrisht Chhatravriti Yojna,"['1. The student should be a resident of Himachal Pradesh.', '2. The applicant should be a Student.', '3. The applicant should have passed Class 10th.', '4. The applicant should have come in merit (in top 2000).', '5. The applicant should be from the general category.', '6. The applicant should be enrolled in Class 11th or any professional/technical course in a recognized institute.', '\ufeff']",https://www.myscheme.gov.in/schemes/svucy,Himachal Pradesh,"Education, Financial Assistance, Scholarship, School, Student"
Matru Jyothi - Financial Assistance For PwD Mothers,"['The applicant with the following type of disability will be considered under the scheme:', '2. The applicant should be a native and resident of Kerala State.', '3.\tThe applicant should be a differently abled mother.', '4.\tThe differently abled mother who has a child less than two years old is eligible to apply under the scheme.', '5.\tThe applicant’s annual family income should not exceed ₹1,00,000/-.']",https://www.myscheme.gov.in/schemes/mj-fapm,Kerala,"Child, Disability, Financial Assistance, Mother, PwD"
INSPIRE Awards – MANAK (Million Minds Augmenting National Aspirations and Knowledge),"['The applicant should be in the age group of 10-15 years.', 'The applicant should be in Class 6th to Class 10th.', 'All schools in the country are eligible irrespective of Central/State Board affiliation.', 'Upto 2-3 nominations from each school are accepted every year.', '\ufeff', '\ufeff', 'Selection of ideas/innovations will be based on novelty, social applicability, environment friendliness, user friendliness and comparative advantage over the existing similar technologies.']",https://www.myscheme.gov.in/schemes/iamanak,Ministry Of Science And Technology,"Award, DBT, Direct Benefit Transfer, Innovation, School, Student"
Saphalam Scheme For Transgender Students Pursuing Professional Courses,"['The applicant should be Transgender.', 'The applicant should be a resident of Kerala.', 'Transgender students who have secured admission in merit seats in Government, Aided/Self-financing colleges are eligible under this scheme.', 'Transgender students who secure admission for courses MBBS, Bachelor of Veterinary Science (BVSc), and BSc Agriculture in Government colleges are eligible.', 'Transgender students pursuing Diploma level government-accredited courses are also eligible.', 'Transgender students who have completed 18 years must submit a copy of their Transgender ID card.', 'Those Transgender students who are below 18 years must submit a self-declaration statement duly certified by the Head of Institution/Parent.', 'The applicant should be Transgender.The applicant should be a resident of Kerala.Transgender students who have secured admission in merit seats in Government, Aided/Self-financing colleges are eligible under this scheme.Transgender students who secure admission for courses MBBS, Bachelor of Veterinary Science (BVSc), and BSc Agriculture in Government colleges are eligible.Transgender students pursuing Diploma level government-accredited courses are also eligible.Transgender students who have completed 18 years must submit a copy of their Transgender ID card.Those Transgender students who are below 18 years must submit a self-declaration statement duly certified by the Head of Institution/Parent.']",https://www.myscheme.gov.in/schemes/sstsppc,Kerala,"Education, Financial Assistance, Professional Courses, Student, Transgender"
Financial Assistance For Cultural Activities In Performing Arts For Building Grants Including Studio Theatres,"['Eligible Project: Grants will be given to projects for creating cultural spaces, which will include:1.\tConventional Cultural Spaces for Performing Arts:Performance venues like Auditoria, Open-air Theatres, and Concert Halls.Rehearsal halls for Theatre/ Music/ Dance.Training Centres/ Schools for Theatre/ Music/ Dance etc.2.\tFlexible Spaces, i.e., Studio Theatres, etc.: Non-proscenium rehearsal-cum-performance spaces, referred to as Studio Theatre or Experimental Theatre, that are characterized by the following special features:A small theatre, with all the essential equipment for the performance of live music, dance, or theatre or combination of  these arts;An unconventional space that cannot qualify as an auditorium in the traditional sense; therefore, the stage or performance area is not normally placed within a proscenium arch nor raised too high or separated from the audience by a clearly demarcated division.A seating arrangement for spectators that is totally flexible and can be moved fluidly from one part of the space to another depending on the artistic aim of a particular performance; therefore, the seats/chairs must not be fixed in position.A capacity that usually does not go over 100 to 200; therefore, such a space is often called a “little theatre” or “intimate theatre” because it allows for close-up and intimate viewing by spectators.One or two adjoining green room(s)/dressing room(s) /makeup room(s) with toilet(s) for the performers, and a storage area; therefore, the entire unit, though minimal, functions as a theatre in every sense.3.\tA project proposal to create an auditorium, a studio theatre, or other cultural space(s) may include an appropriate combination of any of the following components:New construction or purchase of built-up space.Renovation/ upgradation/ modernization/ extension/ alteration of an existing building/ space/ facility.Remodeling of the interiors of an existing built-up space/cultural center.Provision of facilities like electricals, air conditioning, acoustics, light and sound systems, and other items of equipment, such as musical instruments, costumes, audio/ video equipment, furniture, and stage material that may be required for a studio theatre, auditorium, rehearsal hall, classroom, etc.', '1.\tConventional Cultural Spaces for Performing Arts:', '2.\tFlexible Spaces, i.e., Studio Theatres, etc.: Non-proscenium rehearsal-cum-performance spaces, referred to as Studio Theatre or Experimental Theatre, that are characterized by the following special features:', '3.\tA project proposal to create an auditorium, a studio theatre, or other cultural space(s) may include an appropriate combination of any of the following components:', '1.\tThe scheme covers all not-for-profit organizations that fulfill the following criteria:The organization has a predominantly cultural profile, working primarily for the promotion of arts and culture in fields such as dance, drama, theatre, music, fine arts, Indology, and literature at least for a period of three years.The organization is registered as a society under the Registration of Societies Act (XXI of 1860) or similar Acts, or as a Trust or as a Not-for-Profit Company, at least for a period of three years.The organization is well-established and known to be doing meaningful work in the field of its activity and has gained a local, regional, or national identity.Its charter is devoted to the preservation, propagation, and promotion of Indian arts and culture.Government-sponsored bodies for promoting the performing arts.University Departments or Centres dedicated to the performing arts.Colleges are set up to promote the performing arts.2.\tAn organization that has been receiving salary grants for the last 3 years under the Ministry’s Scheme of “Financial Assistance to Professional Groups and Individuals Engaged for Specified Performing Arts Projects” will be deemed to have fulfilled all the above conditions.3.\tA Government-sponsored body, University Department/Centre, or College dedicated to the performing arts may also be automatically eligible, provided its record over the preceding three years is satisfactory.Note:An organization that has availed of a grant for its building project grant under the erstwhile Scheme of Building Grants to Cultural Organizations or under this scheme will not be eligible for a second grant under the Scheme before the completion of the project sanctioned earlier, except where such second grant is sought for a Studio Theatre (or Experimental Theatre) and the applicant organization has not defaulted on the ongoing sanctioned project.', '1.\tThe scheme covers all not-for-profit organizations that fulfill the following criteria:', '2.\tAn organization that has been receiving salary grants for the last 3 years under the Ministry’s Scheme of “Financial Assistance to Professional Groups and Individuals Engaged for Specified Performing Arts Projects” will be deemed to have fulfilled all the above conditions.', '3.\tA Government-sponsored body, University Department/Centre, or College dedicated to the performing arts may also be automatically eligible, provided its record over the preceding three years is satisfactory.', 'Note:An organization that has availed of a grant for its building project grant under the erstwhile Scheme of Building Grants to Cultural Organizations or under this scheme will not be eligible for a second grant under the Scheme before the completion of the project sanctioned earlier, except where such second grant is sought for a Studio Theatre (or Experimental Theatre) and the applicant organization has not defaulted on the ongoing sanctioned project.']",https://www.myscheme.gov.in/schemes/facapabgist,Ministry Of Culture,"Arts, Culture, Financial Assistance, Grants, Studio, Theatres"
Opening And Maintenance Of Public School (Vidya Niketan) For Vimukta Jatis And Nomadic Tribes,"['The beneficiary should be a student.', 'The beneficiary should be a resident of Maharashtra.', 'The beneficiary should belong to the VJNT community.', 'The income of the parents should not be more than Rs. 24000/- per annum.', 'The beneficiary should clear the competitive examination Students belonging to the VJNT category & those who studying in 4th Standard are eligible to take admitted to VJNT Ashram School on a merit basis']",https://www.myscheme.gov.in/schemes/omps,Maharashtra,"Education, Public School, Vidya Niketan, Vimukta Jatis And Nomadic Tribes"
Viswakarma Pension Scheme,"['1.\tThe applicant should be a permanent resident of the Kerala State.', '2.\tThe applicant should belong to the traditional Viswakarma Community of Kerala State.', '3.\tThe age of the applicant should be more than 60 years.', '4.\tThe annual family income of the applicant should be ₹1,00,000/-.']",https://www.myscheme.gov.in/schemes/vps,Kerala,"Carpenters, Goldsmiths, Iron Worker, Moosari, Pension, Stone Worker, Viswakarma Community, Wood Worker"
Kala Samman Scheme,"['The applicant should be an artist who is in indigent condition.', 'The applicant should have attained the age of 60 years.', 'The applicant should have given a contribution to the field of Art and culture or should have worked in the field of Art and culture.', ""The income of the applicant should not exceed ₹ 48,000/- per annum. (However, this clause shall not be applicable, where the applicant is the recipient of the ‘State Cultural Award')."", 'NOTE:The number of cases to be sanctioned shall depend upon the availability of funds for every financial year.']",https://www.myscheme.gov.in/schemes/kss,Goa,"Art, Artist, Award, Culture, Financial Assistance"
Trademark Reimbursement Scheme,"['The applicant should be a startup certified by the Startup Promotion Cell (SPC).', 'The applicant should have a valid start-up certificate number.', 'The startup must have successfully registered its trademark.', 'NOTE:Only expenditures incurred after notification of Goa Start-up Policy 2017, being within the validity of this policy and paid for digitally would be considered for reimbursement under this scheme. If digital payments are not possible then it shall be up to the decision of SPC based on its due diligence to admit the expenditure.']",https://www.myscheme.gov.in/schemes/trs-goa,Goa,"Business, Entrepreneurship, Reimbursement, Startup, Trademark"
Educational Assistance For Children Of Victims Of Crime,"['The applicant should be a native and resident of Kerala State.', 'The children/dependents of survivors (victims) of crime are eligible to apply under the scheme.', 'The combined annual income of the families should be less than ₹1,00,000/-.', 'The children pursuing a degree and higher education courses in government and aided institutions and admitted to merit seats in unaided institutions are eligible for financial assistance in courses from the degree level onwards.', 'The applicant should be a native and resident of Kerala State.The children/dependents of survivors (victims) of crime are eligible to apply under the scheme.The combined annual income of the families should be less than ₹1,00,000/-.The children pursuing a degree and higher education courses in government and aided institutions and admitted to merit seats in unaided institutions are eligible for financial assistance in courses from the degree level onwards.', 'Note:If granted for one year, the amount can be granted in subsequent years if the head of the school or college or the head of the newly joined institution certifies that the child will continue his education.', 'Note:If granted for one year, the amount can be granted in subsequent years if the head of the school or college or the head of the newly joined institution certifies that the child will continue his education.']",https://www.myscheme.gov.in/schemes/eacvc,Kerala,"Children, Dependent, Education, Scholarship, Survivor, Victim"
CBSE Merit Scholarship Scheme For Single Girl Child,"['The applicant should be the single girl child of her family.', 'The applicant should have secured 60% or more marks in the CBSE Class 10th Examination and be studying Class 11th & 12th in School (affiliated with CBSE).', 'The tuition fee should not be more than ₹1,500/- per month during the academic year. In the next two years, the total enhancement in tuition fees in such a school shall not be more than 10% of the tuition fee charged.', 'The applicant must be an Indian National.', 'The student must continue her school studies in Classes 11th and 12th.', 'The applicant should have passed the CBSE Class 10th Examination in 2019 and will be considered.', 'NRI applicants of the Board are also eligible for the award. The tuition fee for the NRIs has been decided maximum of Rs. 6,000/- per month.', 'A beneficiary under the scheme while availing of the scholarship can enjoy other concessions given by the school in which she is studying other organization(s).', '\ufeff', 'NOTE:']",https://www.myscheme.gov.in/schemes/msssgc,Ministry of Education,"Girl Child, Scholarship"
E-YUVA Scheme: BIRAC’s E-YUVA Fellows (for under graduate students),"['Indian students from Indian Institutes/colleges who are pursuing under graduation in any domain should apply as a team.', 'A team should comprise a minimum of 3 and a maximum of 5 Indian students from Indian Institutes/colleges pursuing under graduation in any domain.', 'Teams with students from different disciplines are encouraged.', 'One team can have students from the same/different colleges/institutes.', 'The team should be supported by a mentor/guide.', 'Indian students from Indian Institutes/colleges who are pursuing under graduation in any domain should apply as a team.A team should comprise a minimum of 3 and a maximum of 5 Indian students from Indian Institutes/colleges pursuing under graduation in any domain.Teams with students from different disciplines are encouraged.One team can have students from the same/different colleges/institutes.The team should be supported by a mentor/guide.Note 01:BIRAC’s E-YUVA Fellows shall pursue their research work at their College/University labs and will also be allowed access to facilities at EYC and EYC Knowledge Partners as and when required.Note 02:It will be mandatory for all the fellows to spend 3-4 weeks at EYC/EYC Knowledge Partner during their fellowship period.', 'Note 01:BIRAC’s E-YUVA Fellows shall pursue their research work at their College/University labs and will also be allowed access to facilities at EYC and EYC Knowledge Partners as and when required.', 'Note 02:It will be mandatory for all the fellows to spend 3-4 weeks at EYC/EYC Knowledge Partner during their fellowship period.']",https://www.myscheme.gov.in/schemes/e-yuvasbirace-yuvafugs,Ministry Of Science And Technology,"E-YUVA, Fellow, Research, Stipend, Student, Under Graduate"
National Solar Science Fellowship Programme,"['The applicant should be Indian or of Indian origin.', 'The programme is open to all Scientists working in the field of solar energy sciences, engineering, and technology including those currently employed in the Government of India/ State Government/Public Institutions and those who are not currently associated with any public institution but are working in the area and eager to pursue specific research that is beneficial to the Government of India.', 'The applicant should possess a doctorate or equivalent in the field of solar sciences/solar engineering, with an outstanding track record and proven leadership qualities in the area of solar energy research with experience of at least ten years including the period spent while undertaking research work for Ph.D.', 'M.Tech. or M.S degree holder with good published work and lab/industry experience will also be considered as a special case provided Fellowship Management Committee feels that the proposal submitted by such candidates is worth considering.', 'The applicant should have an appropriate background in academics and experience in R&D in the area of solar energy and other related areas that are directly or indirectly involved in solar sciences, engineering, and technology.', 'There will be no age bar for the Programme.', 'The applicant should be Indian or of Indian origin.The programme is open to all Scientists working in the field of solar energy sciences, engineering, and technology including those currently employed in the Government of India/ State Government/Public Institutions and those who are not currently associated with any public institution but are working in the area and eager to pursue specific research that is beneficial to the Government of India.The applicant should possess a doctorate or equivalent in the field of solar sciences/solar engineering, with an outstanding track record and proven leadership qualities in the area of solar energy research with experience of at least ten years including the period spent while undertaking research work for Ph.D.M.Tech. or M.S degree holder with good published work and lab/industry experience will also be considered as a special case provided Fellowship Management Committee feels that the proposal submitted by such candidates is worth considering.The applicant should have an appropriate background in academics and experience in R&D in the area of solar energy and other related areas that are directly or indirectly involved in solar sciences, engineering, and technology.There will be no age bar for the Programme.Note 01:The Fellowship Management Committee will have the right to suitably amend the eligibility criteria.Note 02:A comprehensive proposal should be submitted by all the candidates for the National Solar Science Fellowship for the consideration of the Fellowship Management Committee.', 'Note 01:The Fellowship Management Committee will have the right to suitably amend the eligibility criteria.', 'Note 02:A comprehensive proposal should be submitted by all the candidates for the National Solar Science Fellowship for the consideration of the Fellowship Management Committee.']",https://www.myscheme.gov.in/schemes/nssfp,Ministry Of New and Renewable Energy,"Engineer, Fellowship, Research, Scientist, Solar Science"
